id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol,future_entry_price,future_exit_price,future_profit
71650,option,-1600,182.3,125.65,-90670.00000000001,2022-05-19 03:50:03.925798+00:00,2022-05-20 03:45:20.110663+00:00,15850,pe,101,Nifty50 Every Candle_21,NIFTY,15908.5,15988.5,-128320.0
71654,option,-400,454.35,207.6,-98730.00000000001,2022-05-19 03:50:06.045377+00:00,2022-05-20 03:50:05.761069+00:00,33200,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33374.75,33818.05,-177640.00000000116
71660,option,-25,489.55,236.5,-6356.25,2022-05-19 03:55:03.200816+00:00,2022-05-20 03:50:05.761069+00:00,33300,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33394.2,33818.05,-10916.250000000146
71661,option,-100,198.85,142.85,-5630.0,2022-05-19 03:55:03.772642+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15915.65,15988.5,-7605.000000000036
71666,option,-100,193.5,142.85,-5095.000000000001,2022-05-19 04:00:01.489604+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15922.45,15988.5,-6924.999999999927
71671,option,-25,496.55,267.5,-5756.25,2022-05-19 04:00:05.357974+00:00,2022-05-20 03:50:05.761069+00:00,33400,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33433.35,33818.05,-9937.50000000011
71676,option,-100,194.4,142.85,-5185.000000000001,2022-05-19 04:05:05.493018+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15920.0,15988.5,-7170.0
71681,option,-25,488.65,267.5,-5558.749999999999,2022-05-19 04:05:10.121927+00:00,2022-05-20 03:50:05.761069+00:00,33400,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33451.65,33818.05,-9480.000000000036
71684,option,-100,194.9,142.85,-5235.000000000001,2022-05-19 04:10:03.148628+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15918.95,15988.5,-7274.999999999927
71690,option,-25,457.0,236.5,-5542.5,2022-05-19 04:10:06.224255+00:00,2022-05-20 03:50:05.761069+00:00,33300,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33420.65,33818.05,-10255.000000000036
71696,option,-100,187.5,125.65,-6214.999999999999,2022-05-19 04:15:02.902966+00:00,2022-05-20 03:45:20.110663+00:00,15850,pe,101,Nifty50 Every Candle_21,NIFTY,15890.050000000001,15988.5,-10164.99999999989
71700,option,-25,471.2,236.5,-5897.5,2022-05-19 04:15:04.870137+00:00,2022-05-20 03:50:05.761069+00:00,33300,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33404.6,33818.05,-10656.25000000011
71704,option,-100,187.25,125.65,-6189.999999999999,2022-05-19 04:20:02.549777+00:00,2022-05-20 03:45:20.110663+00:00,15850,pe,101,Nifty50 Every Candle_21,NIFTY,15887.5,15988.5,-10420.0
71711,option,-25,473.6,236.5,-5957.500000000001,2022-05-19 04:20:06.960528+00:00,2022-05-20 03:50:05.761069+00:00,33300,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33400.3,33818.05,-10763.75
71716,option,-100,178.9,125.65,-5355.0,2022-05-19 04:25:03.135584+00:00,2022-05-20 03:45:20.110663+00:00,15850,pe,101,Nifty50 Every Candle_21,NIFTY,15903.050000000001,15988.5,-8864.99999999989
71722,option,-25,495.0,267.5,-5717.5,2022-05-19 04:25:05.535770+00:00,2022-05-20 03:50:05.761069+00:00,33400,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33443.55,33818.05,-9682.5
71723,option,-100,191.75,142.85,-4920.000000000001,2022-05-19 04:30:02.489903+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15915.35,15988.5,-7634.999999999964
71727,option,-25,470.2,267.5,-5097.5,2022-05-19 04:30:05.448202+00:00,2022-05-20 03:50:05.761069+00:00,33400,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33491.0,33818.05,-8496.250000000073
71732,option,-100,197.0,142.85,-5445.000000000001,2022-05-19 04:35:02.913642+00:00,2022-05-20 03:45:20.110663+00:00,15900,pe,101,Nifty50 Every Candle_21,NIFTY,15909.75,15988.5,-8195.0
71733,option,-25,468.6,267.5,-5057.500000000001,2022-05-19 04:35:03.602134+00:00,2022-05-20 03:50:05.761069+00:00,33400,pe,100,BankNifty Every_Candle_87,BANKNIFTY,33483.05,33818.05,-8695.0
