id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol,future_entry_price,future_exit_price,future_profit
53919,option,-25,496.8,932.8,10869.999999999998,2022-04-05 08:35:06.657159+00:00,2022-04-06 06:30:10.180817+00:00,38700,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38470.0,37897.85,13983.750000000036
53921,option,-100,172.4,326.8,15410.0,2022-04-05 08:40:01.256625+00:00,2022-04-06 06:05:04.997020+00:00,18150,pe,12,Nifty50_Single_Call_11_MV,NIFTY,18069.5,17875.5,19080.0
53922,option,-25,482.15,1065.0,14541.25,2022-04-05 08:40:01.204230+00:00,2022-04-06 05:40:04.310027+00:00,38700,pe,3,BankNifty Pyramiding_10,BANKNIFTY,38480.0,37777.15,17251.249999999964
53924,option,-25,482.15,1120.9,15938.750000000004,2022-04-05 08:40:04.275233+00:00,2022-04-06 05:20:01.773601+00:00,38700,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,38480.0,37711.35,18896.250000000036
53927,option,-25,488.6,932.8,11074.999999999998,2022-04-05 08:40:05.928835+00:00,2022-04-06 06:30:10.180817+00:00,38700,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38480.0,37897.85,14233.750000000036
53929,option,-25,488.6,1111.2,15535.0,2022-04-05 08:40:06.675322+00:00,2022-04-06 05:35:06.327106+00:00,38700,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY,38480.0,37726.1,18527.500000000036
53930,option,-25,488.6,1120.9,15777.500000000002,2022-04-05 08:40:05.981214+00:00,2022-04-06 05:20:05.141546+00:00,38700,pe,5,BankNifty_Single_Call_11_12,BANKNIFTY,38480.0,37711.35,18896.250000000036
53932,option,-25,487.1,1065.0,14417.5,2022-04-05 08:45:01.275912+00:00,2022-04-06 05:40:04.310027+00:00,38700,pe,3,BankNifty Pyramiding_10,BANKNIFTY,38465.05,37777.15,16877.500000000036
53934,option,-25,487.1,1120.9,15815.000000000002,2022-04-05 08:45:02.843298+00:00,2022-04-06 05:20:01.773601+00:00,38700,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,38465.05,37711.35,18522.50000000011
53936,option,-25,491.2,932.8,11010.0,2022-04-05 08:45:03.759072+00:00,2022-04-06 06:30:10.180817+00:00,38700,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38465.05,37897.85,13860.00000000011
53938,option,-25,492.75,1111.2,15431.250000000002,2022-04-05 08:45:05.460745+00:00,2022-04-06 05:35:06.327106+00:00,38700,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY,38465.05,37726.1,18153.75000000011
53939,option,-25,467.4,1065.0,14910.0,2022-04-05 08:50:01.693609+00:00,2022-04-06 05:40:04.310027+00:00,38700,pe,3,BankNifty Pyramiding_10,BANKNIFTY,38498.8,37777.15,17721.250000000036
53940,option,-25,467.4,1120.9,16307.500000000004,2022-04-05 08:50:01.796348+00:00,2022-04-06 05:20:01.773601+00:00,38700,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,38498.8,37711.35,19366.25000000011
53942,option,-25,470.65,932.8,11523.75,2022-04-05 08:50:03.708852+00:00,2022-04-06 06:30:10.180817+00:00,38700,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38498.8,37897.85,14703.75000000011
53943,option,-100,169.15,281.35,11190.000000000002,2022-04-05 08:50:05.438049+00:00,2022-04-06 06:30:06.307020+00:00,18150,pe,4,Nifty50 Pyramiding_10,NIFTY,18075.5,17926.0,14630.0
53944,option,-25,470.65,1111.2,15983.750000000002,2022-04-05 08:50:05.135919+00:00,2022-04-06 05:35:06.327106+00:00,38700,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY,38498.8,37726.1,18997.50000000011
53946,option,-100,169.15,329.25,15980.0,2022-04-05 08:50:07.246923+00:00,2022-04-06 06:10:02.410936+00:00,18150,pe,41,"V 4 Nifty50 Pyramiding_12,14,100, MV:12",NIFTY,18075.5,17876.15,19614.999999999854
53947,option,-100,169.15,329.25,15980.0,2022-04-05 08:50:06.382549+00:00,2022-04-06 06:10:02.505074+00:00,18150,pe,40,"Nifty50 Pyramiding_12,14,100, MV:12",NIFTY,18075.5,17876.15,19614.999999999854
53950,option,-100,175.75,329.25,15320.0,2022-04-05 08:55:00.925242+00:00,2022-04-06 06:10:02.505074+00:00,18150,pe,40,"Nifty50 Pyramiding_12,14,100, MV:12",NIFTY,18068.0,17876.15,18864.999999999854
53952,option,-100,175.75,329.25,15320.0,2022-04-05 08:55:02.397127+00:00,2022-04-06 06:10:02.410936+00:00,18150,pe,41,"V 4 Nifty50 Pyramiding_12,14,100, MV:12",NIFTY,18068.0,17876.15,18864.999999999854
53953,option,-100,175.75,281.35,10530.000000000002,2022-04-05 08:55:02.452560+00:00,2022-04-06 06:30:06.307020+00:00,18150,pe,4,Nifty50 Pyramiding_10,NIFTY,18068.0,17926.0,13880.0
53955,option,-25,455.8,1033.3,14407.5,2022-04-05 08:55:04.450969+00:00,2022-04-06 05:20:01.773601+00:00,38600,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,38421.6,37711.35,17436.25
53957,option,-25,455.8,966.4,12735.0,2022-04-05 08:55:03.904814+00:00,2022-04-06 05:40:04.310027+00:00,38600,pe,3,BankNifty Pyramiding_10,BANKNIFTY,38421.6,37777.15,15791.249999999927
53958,option,-25,455.25,1011.35,13872.5,2022-04-05 08:55:05.794439+00:00,2022-04-06 05:35:06.327106+00:00,38600,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY,38421.6,37726.1,17067.5
53959,option,-25,455.25,840.0,9588.75,2022-04-05 08:55:05.592340+00:00,2022-04-06 06:30:10.180817+00:00,38600,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38421.6,37897.85,12773.75
53960,option,-25,460.7,966.4,12612.5,2022-04-05 09:00:02.788204+00:00,2022-04-06 05:40:04.310027+00:00,38600,pe,3,BankNifty Pyramiding_10,BANKNIFTY,38397.950000000004,37777.15,15200.000000000073
53961,option,-25,460.7,840.0,9452.5,2022-04-05 09:00:03.260966+00:00,2022-04-06 06:30:10.180817+00:00,38600,pe,100,BankNifty Every_Candle_87,BANKNIFTY,38397.950000000004,37897.85,12182.500000000146
53962,option,-100,184.8,281.35,9625.000000000002,2022-04-05 09:00:04.452649+00:00,2022-04-06 06:30:06.307020+00:00,18150,pe,4,Nifty50 Pyramiding_10,NIFTY,18055.9,17926.0,12670.000000000146
